Nombre	GIF
Salabhasana (Saltamontes/locust)	https://www.inspireusafoundation.org/wp-content/uploads/2022/12/supine-twist.gif
Sirsasana (Parada sobre la cabeza) - progresión	https://www.inspireusafoundation.org/wp-content/uploads/2022/12/happy-baby-pose.gif
Flexiones archer (arquero)	https://homeworkouts.org/wp-content/uploads/anim-wide-push-ups.gif
Flexiones pseudo planche	https://www.inspireusafoundation.org/wp-content/uploads/2022/02/decline-push-up.gif
Face pulls con banda	https://www.inspireusafoundation.org/wp-content/uploads/2021/08/superman-exercise.gif
Remo invertido (Australian pull-up)	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/inverted-row.gif
Zancadas búlgaras	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/bodyweight-squat.gif
Hip thrust (puente de glúteos)	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/bodyweight-lunge.gif
Pistol squat (sentadilla a una pierna)	https://www.inspireusafoundation.org/wp-content/uploads/2022/11/glute-bridge.gif
Pike push-up	https://www.inspireusafoundation.org/wp-content/uploads/2022/02/pike-push-up.gif
Handstand push-up (parada de manos)	https://www.inspireusafoundation.org/wp-content/uploads/2021/09/dumbbell-lateral-raise.gif
Dragon flag	https://www.inspireusafoundation.org/wp-content/uploads/2023/08/forearm-plank.gif
Hollow body hold	https://www.inspireusafoundation.org/wp-content/uploads/2021/08/crunch.gif
Curl de bíceps con toalla	https://newlife.com.cy/wp-content/uploads/2019/11/03341301-Dumbbell-Biceps-Curl_Upper-Arms_small.gif
Chin-ups (dominadas supinas)	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/bench-dip.gif
Shadow boxing (boxeo sombra)	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/burpee.gif
Escalador de montaña (Mountain climbers)	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/jumping-jack.gif
Saltos de tijera (Jumping jacks)	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/mountain-climber.gif
Turkish Get-Up	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/burpee.gif
Man maker	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/mountain-climber.gif
